|continent    |date      |cases_per_million|countries_in_continent|
|North America|2020-03-23|56.4029080067    |41                    |
|             |2020-03-23|48.1319347425    |12                    |
|Oceania      |2020-03-23|26.3549912523    |24                    |
|Asia         |2020-03-23|25.5890989218    |49                    |
|South America|2020-03-23|7.3028346978     |14                    |
|Africa       |2020-03-23|0.9374820701     |57                    |
|Europe       |2020-03-24|219.5179240945   |54                    |
|North America|2020-03-24|56.4029080067    |41                    |
|             |2020-03-24|48.1319347425    |12                    |
|Oceania      |2020-03-24|26.3549912523    |24                    |
|Asia         |2020-03-24|25.5890989218    |49                    |
|South America|2020-03-24|7.3028346978     |14                    |
|Africa       |2020-03-24|0.9374820701     |57                    |
|Europe       |2020-03-25|219.5179240945   |54                    |
|North America|2020-03-25|56.4029080067    |41                    |
|             |2020-03-25|48.1319347425    |12                    |
|Oceania      |2020-03-25|26.3549912523    |24                    |
|Asia         |2020-03-25|25.5890989218    |49                    |
|South America|2020-03-25|7.3028346978     |14                    |
|Africa       |2020-03-25|0.9374820701     |57                    |
|Europe       |2020-03-26|219.5179240945   |54                    |
|North America|2020-03-26|56.4029080067    |41                    |
|             |2020-03-26|48.1319347425    |12                    |
|Oceania      |2020-03-26|26.3549912523    |24                    |
|Asia         |2020-03-26|25.5890989218    |49                    |
|South America|2020-03-26|7.3028346978     |14                    |
|Africa       |2020-03-26|0.9374820701     |57                    |
|Europe       |2020-03-27|219.5179240945   |54                    |
|North America|2020-03-27|56.4029080067    |41                    |
|             |2020-03-27|48.1319347425    |12                    |
|Oceania      |2020-03-27|26.3549912523    |24                    |
|Asia         |2020-03-27|25.5890989218    |49                    |
