|continent    |date      |cases_per_million|countries_in_continent|
|South America|2020-03-27|7.3028346978     |14                    |
|Africa       |2020-03-27|0.9374820701     |57                    |
|Europe       |2020-03-28|219.5179240945   |54                    |
|North America|2020-03-28|56.4029080067    |41                    |
|             |2020-03-28|48.1319347425    |12                    |
|Oceania      |2020-03-28|26.3549912523    |24                    |
|Asia         |2020-03-28|25.5890989218    |49                    |
|South America|2020-03-28|7.3028346978     |14                    |
|Africa       |2020-03-28|0.9374820701     |57                    |
|Europe       |2020-03-29|467.5707132127   |54                    |
|North America|2020-03-29|226.2346292976   |41                    |
|             |2020-03-29|98.5024666937    |12                    |
|Oceania      |2020-03-29|97.6045000382    |24                    |
|Asia         |2020-03-29|32.9309249114    |49                    |
|South America|2020-03-29|23.7307788332    |14                    |
|Africa       |2020-03-29|3.2016029409     |57                    |
|Europe       |2020-03-30|467.5707132127   |54                    |
|North America|2020-03-30|226.2346292976   |41                    |
|             |2020-03-30|98.5024666937    |12                    |
|Oceania      |2020-03-30|97.6045000382    |24                    |
|Asia         |2020-03-30|32.9309249114    |49                    |
|South America|2020-03-30|23.7307788332    |14                    |
|Africa       |2020-03-30|3.2016029409     |57                    |
|Europe       |2020-03-31|467.5707132127   |54                    |
|North America|2020-03-31|226.2346292976   |41                    |
|             |2020-03-31|98.5024666937    |12                    |
|Oceania      |2020-03-31|97.6045000382    |24                    |
|Asia         |2020-03-31|32.9309249114    |49                    |
|South America|2020-03-31|23.7307788332    |14                    |
|Africa       |2020-03-31|3.2016029409     |57                    |
|Europe       |2020-04-01|465.7509324785   |55                    |
|North America|2020-04-01|226.2346292976   |41                    |
|             |2020-04-01|98.5024666937    |12                    |
|Oceania      |2020-04-01|97.6045000382    |24                    |
|Asia         |2020-04-01|32.9309249114    |49                    |
|South America|2020-04-01|23.7307788332    |14                    |
|Africa       |2020-04-01|3.2016029409     |57                    |
|Europe       |2020-04-02|465.7509324785   |55                    |
|North America|2020-04-02|226.2346292976   |41                    |
|             |2020-04-02|98.5024666937    |12                    |
|Oceania      |2020-04-02|97.6045000382    |24                    |
|Asia         |2020-04-02|32.9309249114    |49                    |
|South America|2020-04-02|23.7307788332    |14                    |
|Africa       |2020-04-02|3.2016029409     |57                    |
|Europe       |2020-04-03|465.7509324785   |55                    |
|North America|2020-04-03|226.2346292976   |41                    |
|             |2020-04-03|98.5024666937    |12                    |
|Oceania      |2020-04-03|97.6045000382    |24                    |
|Asia         |2020-04-03|32.9309249114    |49                    |
|South America|2020-04-03|23.7307788332    |14                    |
|Africa       |2020-04-03|3.2016029409     |57                    |
|Europe       |2020-04-04|465.7509324785   |55                    |
|North America|2020-04-04|226.2346292976   |41                    |
|             |2020-04-04|98.5024666937    |12                    |
|Oceania      |2020-04-04|97.6045000382    |24                    |
|Asia         |2020-04-04|32.9309249114    |49                    |
|South America|2020-04-04|23.7307788332    |14                    |
|Africa       |2020-04-04|3.2016029409     |57                    |
|Europe       |2020-04-05|710.9794780748   |55                    |
|North America|2020-04-05|541.2763535321   |41                    |
|             |2020-04-05|162.3428214841   |12                    |
|Oceania      |2020-04-05|148.2940072236   |24                    |
|South America|2020-04-05|51.4586577863    |14                    |
|Asia         |2020-04-05|45.284867371     |49                    |
|Africa       |2020-04-05|6.4852443278     |57                    |
|Europe       |2020-04-06|710.9794780748   |55                    |
|North America|2020-04-06|541.2763535321   |41                    |
|             |2020-04-06|162.3428214841   |12                    |
|Oceania      |2020-04-06|148.2940072236   |24                    |
|South America|2020-04-06|51.4586577863    |14                    |
|Asia         |2020-04-06|45.284867371     |49                    |
|Africa       |2020-04-06|6.4852443278     |57                    |
